source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index
206519005602824448,74.29623561719184,45.85011857100745,0.8483140725551563,33.635303,14.958855,89801
213777530395545344,81.25743124241048,50.31011608348332,0.4242508384624022,5.686607,16.809649,108228
236526430269817856,53.2724616950548,39.56642143627009,0.3038722959960139,6.0703483,16.114126,175632
238418002589042048,52.92687503374548,42.99216327036569,3.502842155831801,57.657806,16.653973,165749
241385824990112128,50.73572611332682,43.78722550800793,2.045093423937926,24.771332,16.884153,121468
241599370765037056,51.66418321455336,44.20498502534396,0.6306168249162668,15.182505,15.869308,285369
246180142362948608,63.52339031453846,47.97714735947294,0.4733738827693325,21.551107,14.378502,124237
253151801995442048,69.80752451661085,45.04927501242783,0.3226932199703826,8.233366,15.651683,296724
259015630649108992,71.21812200032345,48.94059643376573,0.4518037372504901,6.9342785,16.496151,85653
263921965065560448,85.82992865387217,53.40836142175596,0.7301387421968843,8.783186,16.939352,213027
268747957820487552,88.6382565737622,57.31251647629645,1.4626795913979187,99.641624,12.313149,291707
270458729196332672,65.43707265826136,49.8916226228158,0.5566577101831702,38.24101,12.431502,25629
339366428578249984,35.60406762336495,42.70098221446346,1.3748693842939663,67.187126,12.232433,130228
339476418396503424,36.351771621891736,42.01544967236684,1.0509541286805852,16.976778,16.045843,13616
345189171576731520,32.103156334185904,41.28522506501774,2.486241501745153,135.16072,13.149145,130523
350060042447721344,28.7923221755808,45.727243357965975,0.2785736799228437,16.179604,12.446554,282808
358808306715420928,34.08959156949822,51.479397467393504,0.6430019260976473,28.421942,14.003029,267981
376986223218488064,15.296731989887078,45.03935089803282,2.47591572052919,114.87628,14.475262,159540
377619232679065216,13.200812422147154,45.389483312624975,0.816130117099413,22.516598,15.766609,289308
408286707924779520,29.3359778556782,53.846547946270526,0.5123259114514274,9.295238,16.510515,44003
413562542677279360,16.928533374667126,57.22947950729668,0.4075386657976397,11.01095,15.93137,137711
417241474217512320,13.061915328131178,53.68423999031245,0.8647757595425026,28.480268,15.237384,58208
418846417597078656,6.942564733855401,51.63776676454147,0.286437850720514,8.138775,15.591678,104201
420684594882367360,3.3099207909719985,55.46443623811824,0.2745457262753411,6.460068,16.457674,28938
423974226292493184,14.78200687558425,56.397418821383496,0.7967158411657937,16.855143,16.287312,37897
424634075009312512,11.585937599556049,57.18252242254714,1.0532732409665817,28.565458,16.072805,38015
424946194572988800,9.5716327426153,58.21405582779081,0.2241159101640157,19.109623,13.134431,242719
424955609142575104,9.674562603168066,58.463099605378645,0.4273693827396769,9.844426,16.509832,26490
429576207981344896,4.373866728827454,61.09425887394114,0.6187930980227394,28.48476,15.111289,113046
434168799322350080,45.12324810841205,46.34350801190678,0.5347620347591321,9.1495695,16.528624,233821
435204088302430208,50.09163324604791,47.30572876132701,0.4389088069584037,26.747305,13.577674,98459
436622771839154176,47.81327038298482,49.64365813895655,0.1723639199724934,6.225482,15.039824,234034
438747268821007232,42.85849635626118,49.94344504305924,1.093917092279808,43.949947,14.30493,266369
441135030121125504,44.53870860296784,52.98583467376776,1.0971005197219477,25.77254,15.983828,141084
442966232377970944,50.81571917169981,52.25315842001186,0.5843850449502533,25.693739,14.504055,192156
448120571088619264,52.85750898223512,54.72591669744519,1.0738331574616762,18.934004,16.685059,73752
448397716738662144,51.67073896987485,55.399060987344505,0.7749340581359421,13.499356,16.36907,119553
471292813002392448,68.7323324408852,59.91677311234019,0.4720062879128489,19.69383,14.885911,166159
481076679787790208,80.54883942567164,66.16881077519129,0.4520807894422544,13.984644,15.547392,232746
490962801147673728,49.40733594617386,63.84933971592742,0.4024678445762792,8.293405,16.32546,66338
490970497728997376,49.372107779155634,64.08426220677521,0.3985871824594879,16.213848,15.095667,200113
492087051787343104,48.51631571242796,65.94999622754226,0.428236339997134,9.182087,16.581797,258982
493470340492591360,56.76067861062832,67.84281955582522,2.6727256518739315,202.03976,11.834019,259048
498143952104127104,79.84783136876666,71.46796121672341,0.3271552443316906,22.587011,14.221097,43819
499205358781547008,79.92173087945497,72.65207796536362,1.2369954436927566,30.247099,16.488352,238710
499402377520885632,85.81758329685313,73.3602798623145,0.7027776822285632,51.164425,13.593156,121541
499591665319864192,88.92787710202941,74.21857371207558,0.6360749645048898,23.52123,15.591661,142251
502483037304918016,77.16251486515746,73.90916118748022,0.4065853070864973,15.088185,15.506226,136081
505651176987655552,26.94238023818697,57.08233562728179,0.8233699463370546,27.252151,15.369341,256970
505961685941264000,26.605955548440523,57.72107920638376,0.4502254415315407,14.269099,15.596462,43348
512173239443209216,27.331885364605803,64.02447590587695,0.3270714980155592,13.498379,15.106904,184913
517122209997837568,36.16294798069626,66.6058026908548,0.5788897281899241,9.535893,16.9609,94866
518054217904837120,29.144652564549148,64.87859609566004,1.8763072778455367,42.53122,16.427502,177788
521506787488039040,30.124890266987904,69.27781425864383,0.8407475419456995,32.089867,15.35464,19965
525317900953877376,19.84828805307189,65.75219934838634,0.3562254609609498,17.12952,14.857391,180087
